Day,Time,Time Code,Home Team,Road Team,Home Team Score,Road Team Score
Thu,8:20 PM,8,Philadelphia Eagles,Atlanta Falcons,18,12
Sun,1:00 PM,1,Indianapolis Colts,Cincinnati Bengals,23,34
Sun,1:00 PM,1,Minnesota Vikings,San Francisco 49ers,24,16
Sun,1:00 PM,1,New York Giants,Jacksonville Jaguars,15,20
Sun,1:00 PM,1,New England Patriots,Houston Texans,27,20
Sun,1:00 PM,1,Baltimore Ravens,Buffalo Bills,47,3
Sun,1:00 PM,1,New Orleans Saints,Tampa Bay Buccaneers,40,48
Sun,1:00 PM,1,Cleveland Browns,Pittsburgh Steelers,21,21
Sun,1:00 PM,1,Miami Dolphins,Tennessee Titans,27,20
Sun,4:05 PM,4,Los Angeles Chargers,Kansas City Chiefs,28,38
Sun,4:25 PM,4,Denver Broncos,Seattle Seahawks,27,24
Sun,4:25 PM,4,Carolina Panthers,Dallas Cowboys,16,8
Sun,4:25 PM,4,Arizona Cardinals,Washington Redskins,6,24
Sun,8:20 PM,8,Green Bay Packers,Chicago Bears,24,23
Mon,7:10 PM,8,Detroit Lions,New York Jets,17,48
Mon,10:20 PM,8,Oakland Raiders,Los Angeles Rams,13,33
Thu,8:20 PM,8,Cincinnati Bengals,Baltimore Ravens,34,23
Sun,1:00 PM,1,New Orleans Saints,Cleveland Browns,21,18
Sun,1:00 PM,1,New York Jets,Miami Dolphins,12,20
Sun,1:00 PM,1,Tampa Bay Buccaneers,Philadelphia Eagles,27,21
Sun,1:00 PM,1,Green Bay Packers,Minnesota Vikings,29,29
Sun,1:00 PM,1,Washington Redskins,Indianapolis Colts,9,21
Sun,1:00 PM,1,Pittsburgh Steelers,Kansas City Chiefs,37,42
Sun,1:00 PM,1,Atlanta Falcons,Carolina Panthers,31,24
Sun,1:00 PM,1,Tennessee Titans,Houston Texans,20,17
Sun,1:00 PM,1,Buffalo Bills,Los Angeles Chargers,20,31
Sun,4:05 PM,4,Los Angeles Rams,Arizona Cardinals,34,0
Sun,4:05 PM,4,San Francisco 49ers,Detroit Lions,30,27
Sun,4:25 PM,4,Denver Broncos,Oakland Raiders,20,19
Sun,4:25 PM,4,Jacksonville Jaguars,New England Patriots,31,20
Sun,8:20 PM,8,Dallas Cowboys,New York Giants,20,13
Mon,8:15 PM,8,Chicago Bears,Seattle Seahawks,24,17
Thu,8:20 PM,8,Cleveland Browns,New York Jets,21,17
Sun,1:00 PM,1,Kansas City Chiefs,San Francisco 49ers,38,27
Sun,1:00 PM,1,Atlanta Falcons,New Orleans Saints,37,43
Sun,1:00 PM,1,Baltimore Ravens,Denver Broncos,27,14
Sun,1:00 PM,1,Jacksonville Jaguars,Tennessee Titans,6,9
Sun,1:00 PM,1,Houston Texans,New York Giants,22,27
Sun,1:00 PM,1,Minnesota Vikings,Buffalo Bills,6,27
Sun,1:00 PM,1,Miami Dolphins,Oakland Raiders,28,20
Sun,1:00 PM,1,Washington Redskins,Green Bay Packers,31,17
Sun,1:00 PM,1,Philadelphia Eagles,Indianapolis Colts,20,16
Sun,1:00 PM,1,Carolina Panthers,Cincinnati Bengals,31,21
Sun,4:05 PM,4,Los Angeles Rams,Los Angeles Chargers,35,23
Sun,4:25 PM,4,Seattle Seahawks,Dallas Cowboys,24,13
Sun,4:25 PM,4,Arizona Cardinals,Chicago Bears,14,16
Sun,8:20 PM,8,Detroit Lions,New England Patriots,26,10
Mon,8:15 PM,8,Tampa Bay Buccaneers,Pittsburgh Steelers,27,30
Thu,8:20 PM,8,Los Angeles Rams,Minnesota Vikings,38,31
Sun,1:00 PM,1,Dallas Cowboys,Detroit Lions,26,24
Sun,1:00 PM,1,Atlanta Falcons,Cincinnati Bengals,36,37
Sun,1:00 PM,1,Chicago Bears,Tampa Bay Buccaneers,48,10
Sun,1:00 PM,1,Jacksonville Jaguars,New York Jets,31,12
Sun,1:00 PM,1,Tennessee Titans,Philadelphia Eagles,26,23
Sun,1:00 PM,1,Green Bay Packers,Buffalo Bills,22,0
Sun,1:00 PM,1,New England Patriots,Miami Dolphins,38,7
Sun,1:00 PM,1,Indianapolis Colts,Houston Texans,34,37
Sun,4:05 PM,4,Arizona Cardinals,Seattle Seahawks,17,20
Sun,4:05 PM,4,Oakland Raiders,Cleveland Browns,45,42
Sun,4:25 PM,4,New York Giants,New Orleans Saints,18,33
Sun,4:25 PM,4,Los Angeles Chargers,San Francisco 49ers,29,27
Sun,8:20 PM,8,Pittsburgh Steelers,Baltimore Ravens,14,26
Mon,8:15 PM,8,Denver Broncos,Kansas City Chiefs,23,27
Thu,8:20 PM,8,New England Patriots,Indianapolis Colts,38,24
Sun,1:00 PM,1,Carolina Panthers,New York Giants,33,31
Sun,1:00 PM,1,Detroit Lions,Green Bay Packers,31,23
Sun,1:00 PM,1,Pittsburgh Steelers,Atlanta Falcons,41,17
Sun,1:00 PM,1,New York Jets,Denver Broncos,34,16
Sun,1:00 PM,1,Kansas City Chiefs,Jacksonville Jaguars,30,14
Sun,1:00 PM,1,Buffalo Bills,Tennessee Titans,13,12
Sun,1:00 PM,1,Cincinnati Bengals,Miami Dolphins,27,17
Sun,1:00 PM,1,Cleveland Browns,Baltimore Ravens,12,9
Sun,4:05 PM,4,Los Angeles Chargers,Oakland Raiders,26,10
Sun,4:25 PM,4,Seattle Seahawks,Los Angeles Rams,31,33
Sun,4:25 PM,4,San Francisco 49ers,Arizona Cardinals,18,28
Sun,4:25 PM,4,Philadelphia Eagles,Minnesota Vikings,21,23
Sun,8:20 PM,8,Houston Texans,Dallas Cowboys,19,16
Mon,8:15 PM,8,New Orleans Saints,Washington Redskins,43,19
Thu,8:20 PM,8,New York Giants,Philadelphia Eagles,13,34
Sun,1:00 PM,1,Washington Redskins,Carolina Panthers,23,17
Sun,1:00 PM,1,Miami Dolphins,Chicago Bears,31,28
Sun,1:00 PM,1,Houston Texans,Buffalo Bills,20,13
Sun,1:00 PM,1,Minnesota Vikings,Arizona Cardinals,27,17
Sun,1:00 PM,1,Cincinnati Bengals,Pittsburgh Steelers,21,28
Sun,1:00 PM,1,Cleveland Browns,Los Angeles Chargers,14,38
Sun,1:00 PM,1,New York Jets,Indianapolis Colts,42,34
Sun,1:00 PM,1,Atlanta Falcons,Tampa Bay Buccaneers,34,29
Sun,1:00 PM,1,Oakland Raiders,Seattle Seahawks,3,27
Sun,4:05 PM,4,Denver Broncos,Los Angeles Rams,20,23
Sun,4:25 PM,4,Tennessee Titans,Baltimore Ravens,0,21
Sun,4:25 PM,4,Dallas Cowboys,Jacksonville Jaguars,40,7
Sun,8:20 PM,8,New England Patriots,Kansas City Chiefs,43,40
Mon,8:15 PM,8,Green Bay Packers,San Francisco 49ers,33,30
Thu,8:20 PM,8,Arizona Cardinals,Denver Broncos,10,45
Sun,9:30 AM,1,Los Angeles Chargers,Tennessee Titans,20,19
Sun,1:00 PM,1,Miami Dolphins,Detroit Lions,21,32
Sun,1:00 PM,1,Philadelphia Eagles,Carolina Panthers,17,21
Sun,1:00 PM,1,Chicago Bears,New England Patriots,31,38
Sun,1:00 PM,1,New York Jets,Minnesota Vikings,17,37
Sun,1:00 PM,1,Indianapolis Colts,Buffalo Bills,37,5
Sun,1:00 PM,1,Jacksonville Jaguars,Houston Texans,7,20
Sun,1:00 PM,1,Tampa Bay Buccaneers,Cleveland Browns,26,23
Sun,4:05 PM,4,Baltimore Ravens,New Orleans Saints,23,24
Sun,4:25 PM,4,Washington Redskins,Dallas Cowboys,20,17
Sun,4:25 PM,4,San Francisco 49ers,Los Angeles Rams,10,39
Sun,8:20 PM,8,Kansas City Chiefs,Cincinnati Bengals,45,10
Mon,8:15 PM,8,Atlanta Falcons,New York Giants,23,20
Thu,8:20 PM,8,Houston Texans,Miami Dolphins,42,23
Sun,9:30 AM,1,Jacksonville Jaguars,Philadelphia Eagles,18,24
Sun,1:00 PM,1,Carolina Panthers,Baltimore Ravens,36,21
Sun,1:00 PM,1,Chicago Bears,New York Jets,24,10
Sun,1:00 PM,1,Detroit Lions,Seattle Seahawks,14,28
Sun,1:00 PM,1,Kansas City Chiefs,Denver Broncos,30,23
Sun,1:00 PM,1,New York Giants,Washington Redskins,13,20
Sun,1:00 PM,1,Cincinnati Bengals,Tampa Bay Buccaneers,37,34
Sun,1:00 PM,1,Pittsburgh Steelers,Cleveland Browns,33,18
Sun,4:05 PM,4,Oakland Raiders,Indianapolis Colts,28,42
Sun,4:25 PM,4,Los Angeles Rams,Green Bay Packers,29,27
Sun,4:25 PM,4,Arizona Cardinals,San Francisco 49ers,18,15
Sun,8:20 PM,8,Minnesota Vikings,New Orleans Saints,20,30
Mon,8:15 PM,8,Buffalo Bills,New England Patriots,6,25
Thu,8:20 PM,8,San Francisco 49ers,Oakland Raiders,34,3
Sun,1:00 PM,1,Minnesota Vikings,Detroit Lions,24,9
Sun,1:00 PM,1,Baltimore Ravens,Pittsburgh Steelers,16,23
Sun,1:00 PM,1,Carolina Panthers,Tampa Bay Buccaneers,42,28
Sun,1:00 PM,1,Washington Redskins,Atlanta Falcons,14,38
Sun,1:00 PM,1,Miami Dolphins,New York Jets,13,6
Sun,1:00 PM,1,Cleveland Browns,Kansas City Chiefs,21,37
Sun,1:00 PM,1,Buffalo Bills,Chicago Bears,9,41
Sun,4:05 PM,4,Seattle Seahawks,Los Angeles Chargers,17,25
Sun,4:05 PM,4,Denver Broncos,Houston Texans,17,19
Sun,4:25 PM,4,New Orleans Saints,Los Angeles Rams,45,35
Sun,8:20 PM,8,New England Patriots,Green Bay Packers,31,17
Mon,8:15 PM,8,Dallas Cowboys,Tennessee Titans,14,28
Thu,8:20 PM,8,Pittsburgh Steelers,Carolina Panthers,52,21
Sun,1:00 PM,1,Tampa Bay Buccaneers,Washington Redskins,3,16
Sun,1:00 PM,1,Cincinnati Bengals,New Orleans Saints,14,51
Sun,1:00 PM,1,Indianapolis Colts,Jacksonville Jaguars,29,26
Sun,1:00 PM,1,Chicago Bears,Detroit Lions,34,22
Sun,1:00 PM,1,Cleveland Browns,Atlanta Falcons,28,16
Sun,1:00 PM,1,Kansas City Chiefs,Arizona Cardinals,26,14
Sun,1:00 PM,1,New York Jets,Buffalo Bills,10,41
Sun,1:00 PM,1,Tennessee Titans,New England Patriots,34,10
Sun,4:05 PM,4,Oakland Raiders,Los Angeles Chargers,6,20
Sun,4:25 PM,4,Green Bay Packers,Miami Dolphins,31,12
Sun,4:25 PM,4,Los Angeles Rams,Seattle Seahawks,36,31
Sun,8:20 PM,8,Philadelphia Eagles,Dallas Cowboys,20,27
Mon,8:15 PM,8,San Francisco 49ers,New York Giants,23,27
Thu,8:20 PM,8,Seattle Seahawks,Green Bay Packers,27,24
Sun,1:00 PM,1,Atlanta Falcons,Dallas Cowboys,19,22
Sun,1:00 PM,1,Jacksonville Jaguars,Pittsburgh Steelers,16,20
Sun,1:00 PM,1,Baltimore Ravens,Cincinnati Bengals,24,21
Sun,1:00 PM,1,Indianapolis Colts,Tennessee Titans,38,10
Sun,1:00 PM,1,New York Giants,Tampa Bay Buccaneers,38,35
Sun,1:00 PM,1,Detroit Lions,Carolina Panthers,20,19
Sun,1:00 PM,1,Washington Redskins,Houston Texans,21,23
Sun,4:05 PM,4,Arizona Cardinals,Oakland Raiders,21,23
Sun,4:05 PM,4,Los Angeles Chargers,Denver Broncos,22,23
Sun,4:25 PM,4,New Orleans Saints,Philadelphia Eagles,48,7
Sun,8:20 PM,8,Chicago Bears,Minnesota Vikings,25,20
Mon,8:15 PM,8,Los Angeles Rams,Kansas City Chiefs,54,51
Thu,12:30 PM,1,Detroit Lions,Chicago Bears,16,23
Thu,4:30 PM,4,Dallas Cowboys,Washington Redskins,31,23
Thu,8:20 PM,8,New Orleans Saints,Atlanta Falcons,31,17
Sun,1:00 PM,1,Philadelphia Eagles,New York Giants,25,22
Sun,1:00 PM,1,Carolina Panthers,Seattle Seahawks,27,30
Sun,1:00 PM,1,Buffalo Bills,Jacksonville Jaguars,24,21
Sun,1:00 PM,1,Cincinnati Bengals,Cleveland Browns,20,35
Sun,1:00 PM,1,New York Jets,New England Patriots,13,27
Sun,1:00 PM,1,Tampa Bay Buccaneers,San Francisco 49ers,27,9
Sun,1:00 PM,1,Baltimore Ravens,Oakland Raiders,34,17
Sun,4:05 PM,4,Los Angeles Chargers,Arizona Cardinals,45,10
Sun,4:25 PM,4,Denver Broncos,Pittsburgh Steelers,24,17
Sun,4:25 PM,4,Indianapolis Colts,Miami Dolphins,27,24
Sun,8:20 PM,8,Minnesota Vikings,Green Bay Packers,24,17
Mon,8:15 PM,8,Houston Texans,Tennessee Titans,34,17
Thu,8:20 PM,8,Dallas Cowboys,New Orleans Saints,13,10